staff_id,ts,Phase,Tskin,Tamb,ambient_RH,skin_RH,swr,HR,HR_confid,ACT_est
13,2025-10-16T07:00:00.000+0200,Approach,27.58,26.24,27,31,27.95,113,95,0.21
13,2025-10-16T07:01:00.000+0200,Approach,28.47,28.15,31,34,38.32,112,96,0.33
13,2025-10-16T07:02:00.000+0200,Approach,30.04,29.31,20,30,62.01,125,96,0.46
13,2025-10-16T07:03:00.000+0200,Approach,31.82,31.36,19,25,66.18,124,96,0.59
13,2025-10-16T07:04:00.000+0200,Approach,32.82,32.05,25,24,87.52,139,92,0.74
13,2025-10-16T07:05:00.000+0200,Approach,34.42,32.86,21,26,101.74,140,94,0.88
13,2025-10-16T07:06:00.000+0200,Approach,35.26,34.53,33,25,116.04,146,86,1.0
13,2025-10-16T07:07:00.000+0200,Work,35.43,34.06,44,44,130.84,143,90,1.0
13,2025-10-16T07:08:00.000+0200,Work,34.41,34.12,42,48,128.97,142,92,1.0
13,2025-10-16T07:09:00.000+0200,Work,34.07,34.53,41,47,115.98,148,92,0.98
13,2025-10-16T07:10:00.000+0200,Work,35.33,34.09,44,50,115.93,149,97,0.94
13,2025-10-16T07:11:00.000+0200,Work,35.46,35.3,40,49,119.93,143,100,0.94
13,2025-10-16T07:12:00.000+0200,Work,35.03,34.31,43,49,121.15,148,92,0.94
13,2025-10-16T07:13:00.000+0200,Work,35.76,34.01,47,47,108.46,147,100,0.91
13,2025-10-16T07:14:00.000+0200,Work,35.14,34.03,42,48,119.03,140,95,0.88
13,2025-10-16T07:15:00.000+0200,Work,34.82,34.15,55,44,109.04,143,98,0.9
13,2025-10-16T07:16:00.000+0200,Work,35.09,34.61,46,42,112.29,140,94,0.88
13,2025-10-16T07:17:00.000+0200,Work,34.33,34.0,45,50,113.18,143,99,0.85
13,2025-10-16T07:18:00.000+0200,Work,34.52,34.3,41,44,111.81,140,89,0.84
13,2025-10-16T07:19:00.000+0200,Work,34.23,34.23,49,53,107.27,146,95,0.82
13,2025-10-16T07:20:00.000+0200,Work,35.0,33.46,41,49,109.22,136,100,0.82
13,2025-10-16T07:21:00.000+0200,Work,35.01,34.24,44,51,112.08,137,89,0.79
13,2025-10-16T07:22:00.000+0200,Work,34.82,34.25,46,52,110.72,140,93,0.79
13,2025-10-16T07:23:00.000+0200,Work,34.64,34.25,44,52,112.93,139,94,0.76
13,2025-10-16T07:24:00.000+0200,Work,33.67,33.79,49,44,100.97,135,95,0.76
13,2025-10-16T07:25:00.000+0200,Work,35.06,33.82,47,50,111.39,135,91,0.73
13,2025-10-16T07:26:00.000+0200,Work,33.26,33.63,48,44,114.48,136,92,0.72
13,2025-10-16T07:27:00.000+0200,Work,34.39,34.28,44,52,111.75,134,92,0.7
13,2025-10-16T07:28:00.000+0200,Work,34.07,33.2,38,51,95.63,134,89,0.68
13,2025-10-16T07:29:00.000+0200,Work,34.12,33.86,46,51,106.2,135,99,0.67
13,2025-10-16T07:30:00.000+0200,Work,33.98,34.94,47,47,105.21,134,95,0.66
13,2025-10-16T07:31:00.000+0200,Work,34.18,33.78,48,51,100.58,132,94,0.62
13,2025-10-16T07:32:00.000+0200,Work,34.69,34.47,50,45,108.92,135,90,0.62
13,2025-10-16T07:33:00.000+0200,Work,34.09,33.48,37,55,105.93,130,92,0.62
13,2025-10-16T07:34:00.000+0200,Work,34.04,33.76,43,50,103.53,134,92,0.59
13,2025-10-16T07:35:00.000+0200,Work,33.77,33.23,49,54,97.07,132,96,0.59
13,2025-10-16T07:36:00.000+0200,Work,33.64,32.8,44,47,101.24,127,91,0.56
13,2025-10-16T07:37:00.000+0200,Work,34.12,33.22,45,47,106.48,128,96,0.55
13,2025-10-16T07:38:00.000+0200,Work,33.89,33.16,41,44,107.95,123,97,0.53
13,2025-10-16T07:39:00.000+0200,Work,34.04,33.15,44,52,97.2,133,97,0.54
13,2025-10-16T07:40:00.000+0200,Work,34.24,33.71,43,42,95.79,129,100,0.53
13,2025-10-16T07:41:00.000+0200,Work,33.43,33.25,52,51,99.84,130,94,0.49
13,2025-10-16T07:42:00.000+0200,Work,34.39,33.09,42,51,91.45,131,96,0.48
13,2025-10-16T07:43:00.000+0200,Work,33.68,33.14,44,46,86.09,125,97,0.45
13,2025-10-16T07:44:00.000+0200,Work,33.55,33.08,42,54,94.21,126,94,0.44
13,2025-10-16T07:45:00.000+0200,Work,33.68,33.14,51,45,97.81,125,100,0.44
